model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	point_estimate	bootstrap_percentile_lower	bootstrap_percentile_upper	bootstrap_estimable_draws	bootstrap_singular_draws	loo_minimum	loo_maximum	loo_sign_reversals	most_influential_marker	largest_absolute_loo_change	observed_mean_log1p_aa_rate	observed_mean_rsa
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.06346801818475703	0.01525404131887908	0.11114324514180554	2000	0	0.055248711899266945	0.07108514497085464	0	4970387at2759	0.008219306285490086	0.60622722227587	0.2663357935377736
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	rsa_at_aa_log1p_rate_0	-0.19440000910291147	-0.2684925106140025	-0.12285498932908101	2000	0	-0.2110987449404856	-0.18240283015927636	0	649304at2759	0.01669873583757414	0.60622722227587	0.2663357935377736
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	interaction	0.0767763658787053	-0.019818914860921057	0.18198279779830664	2000	0	0.05859982117659262	0.0984475717438028	0	649304at2759	0.021671205865097493	0.60622722227587	0.2663357935377736
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_log1p_rate_at_observed_mean_RSA	0.06472222104633213	0.016651193576257776	0.112350426310251	2000	0	0.05654116421989764	0.07235861303391627	0	4970387at2759	0.00818105682643449	0.60622722227587	0.2663357935377736
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	rsa_at_observed_mean_aa_log1p_rate	-0.1478560860798281	-0.19843343464540894	-0.10198554049565905	2000	0	-0.15650329822509068	-0.14088663501129375	0	5013067at2759	0.008647212145262595	0.60622722227587	0.2663357935377736
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_log1p_rate_at_RSA_0.25	0.16229069431125404	0.13370984276124437	0.19421515065171163	2000	0	0.15547038908977487	0.1658546949406252	0	649304at2759	0.006820305221479167	0.60622722227587	0.31139463967197273
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	rsa_at_aa_log1p_rate_0	-0.14169540759532157	-0.20803454366952207	-0.07731902226006267	2000	0	-0.1591706433512891	-0.12927997989235096	0	649304at2759	0.017475235755967544	0.60622722227587	0.31139463967197273
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	interaction	0.060732626687703566	-0.025075337963676784	0.15491154201844437	2000	0	0.04249951803380839	0.07973288946718292	0	649304at2759	0.019000262779479353	0.60622722227587	0.31139463967197273
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.16601935204307802	0.13842171228348343	0.1952133871061444	2000	0	0.1603655611086178	0.1693396913141629	0	649304at2759	0.005653790934460223	0.60622722227587	0.31139463967197273
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.10487763601691766	-0.14777067752323023	-0.06534605294344789	2000	0	-0.11099247733650416	-0.09847849410746787	0	539632at2759	0.00639914190944979	0.60622722227587	0.31139463967197273
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.059937739626145486	0.011560123218178208	0.1083414130148873	2000	0	0.05162084142092048	0.06747596873108107	0	4970387at2759	0.008316898205225007	0.60622722227587	0.31139463967197273
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	rsa_at_aa_log1p_rate_0	-0.16626769525669916	-0.22976693645557855	-0.1044009867799764	2000	0	-0.1805707611993198	-0.15578101433463745	0	649304at2759	0.014303065942620652	0.60622722227587	0.31139463967197273
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	interaction	0.06880697812188914	-0.015039643113405318	0.16048224183532053	2000	0	0.05354352163516342	0.08738928418191086	0	649304at2759	0.018582306060021717	0.60622722227587	0.31139463967197273
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_log1p_rate_at_observed_mean_RSA	0.06416211925485618	0.015621094282143094	0.11175883340794558	2000	0	0.05596916595110067	0.07177545337223006	0	4970387at2759	0.00819295330375551	0.60622722227587	0.31139463967197273
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	rsa_at_observed_mean_aa_log1p_rate	-0.12455503203666973	-0.16802063693540112	-0.08527423032530565	2000	0	-0.1318952495446841	-0.11890529804454604	0	5013067at2759	0.007340217508014363	0.60622722227587	0.31139463967197273
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	aa_log1p_rate_at_RSA_0.25	0.17180616267225648	0.14116106295972747	0.20493009882637192	2000	0	0.16522871066764364	0.17534483901148215	0	649304at2759	0.006577452004612849	0.6171019888828265	0.2663357935377736
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	rsa_at_aa_log1p_rate_0	-0.1845854104260472	-0.26532003590816816	-0.1047425745002102	2000	0	-0.20611791968354487	-0.17045220380899284	0	649304at2759	0.021532509257497667	0.6171019888828265	0.2663357935377736
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	interaction	0.05347589555813736	-0.054386200984585714	0.15952160244950078	2000	0	0.03437935895536671	0.07937006451494562	0	649304at2759	0.02589416895680826	0.6171019888828265	0.2663357935377736
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.17267973386134175	0.1422787282004345	0.20460408844555011	2000	0	0.16652528365463956	0.17613955165281542	0	649304at2759	0.006154450206702189	0.6171019888828265	0.2663357935377736
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.15158532891983034	-0.20761704447041004	-0.09716160099346063	2000	0	-0.1602102998939098	-0.14229515762257144	0	529759at2759	0.009290171297258898	0.6171019888828265	0.2663357935377736
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.05757365859588619	0.008982770226050003	0.10738894893085109	2000	0	0.048798344719362376	0.06427083097548733	0	4970387at2759	0.008775313876523812	0.6171019888828265	0.2663357935377736
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	rsa_at_aa_log1p_rate_0	-0.21548235008487143	-0.2949895908547652	-0.13765848107573073	2000	0	-0.23359177297450096	-0.1994626419767711	0	649304at2759	0.018109422889629523	0.6171019888828265	0.2663357935377736
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	interaction	0.07059882910233507	-0.03805143170012811	0.17430261732274077	2000	0	0.0541768154382334	0.09615827341064208	0	649304at2759	0.025559444308307006	0.6171019888828265	0.2663357935377736
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_log1p_rate_at_observed_mean_RSA	0.05872694649211049	0.010068089364808774	0.10846440708515287	2000	0	0.05000754598650868	0.06531652928698722	0	4970387at2759	0.008719400505601813	0.6171019888828265	0.2663357935377736
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	rsa_at_observed_mean_aa_log1p_rate	-0.17191567223302168	-0.22989506834924062	-0.1169380375831665	2000	0	-0.18189507079719666	-0.16283704757172468	0	5013067at2759	0.009979398564174985	0.6171019888828265	0.2663357935377736
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	aa_log1p_rate_at_RSA_0.25	0.1680630002584338	0.13611199165056084	0.20211833228405457	2000	0	0.16068676016788017	0.17176459662283292	0	649304at2759	0.007376240090553626	0.6171019888828265	0.31139463967197273
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	rsa_at_aa_log1p_rate_0	-0.15633381256432324	-0.2250401800695477	-0.08651448664553454	2000	0	-0.1754736563772993	-0.14374032242780266	0	649304at2759	0.019139843812976065	0.6171019888828265	0.31139463967197273
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	interaction	0.05344222104015805	-0.037894487650138205	0.14618822611381233	2000	0	0.037537879629827554	0.07570086903482498	0	649304at2759	0.02225864799466693	0.6171019888828265	0.31139463967197273
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.17134406616246423	0.14092901639075167	0.2032889574869918	2000	0	0.16533438774512846	0.17479710830335884	0	649304at2759	0.006009678417335768	0.6171019888828265	0.31139463967197273
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.12335451167012607	-0.17151528696918983	-0.07708659367030851	2000	0	-0.13069131770043646	-0.11570704548701657	0	529759at2759	0.0076474661831094914	0.6171019888828265	0.31139463967197273
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.05374616632781724	0.00391271529883405	0.10477013165394577	2000	0	0.04480977303506568	0.0607256120149848	0	4970387at2759	0.00893639329275156	0.6171019888828265	0.31139463967197273
