taxon_id	species_name	study_role	gap_ambiguity_percent_reported	nominal_composition_status	composition_pvalue_percent_reported
F64508	Blastocladiella britannica	ingroup	7.22	failed	0.00
F4808	Blastocladiella emersonii	ingroup	3.52	failed	0.00
F109876	Catenaria anguillulae	ingroup	13.85	failed	0.00
F945690	Coelomomyces lativittatus	ingroup	20.77	failed	0.00
F3075319	Sorochytrium milnesiophthora	ingroup	8.68	failed	0.00
F1500003	Paraphysoderma sedebokerense	ingroup	6.97	failed	0.00
F911321	Calcarisporiella thermophila	ingroup	4.19	failed	0.00
F1555241	Caulochytrium protostelioides	ingroup	8.04	failed	0.00
F1774096	Dinochytrium kinnereticum	ingroup	16.96	failed	0.00
F109932	Entophlyctis luteolus	ingroup	15.97	failed	0.00
F1604274	Cladochytrium tenue	ingroup	53.38	failed	0.00
F109889	Lobulomyces angularis	ingroup	7.24	failed	0.00
F110093	Polychytrium aggregatum	ingroup	2.71	failed	0.00
F2735257	Borealophlyctis nickersoniae	ingroup	7.53	failed	0.00
F64517	Rhizophlyctis rosea	ingroup	5.98	failed	0.00
F382532	Globomyces pollinis-pini	ingroup	3.47	failed	0.00
F1396493	Fimicolochytrium jonesii	ingroup	6.91	failed	0.00
F109760	Spizellomyces punctatus	ingroup	4.10	failed	0.00
F1806994	Synchytrium microbalum	ingroup	3.67	failed	0.00
F34488	Conidiobolus coronatus	ingroup	4.64	failed	0.00
F34485	Entomophthora muscae	ingroup	82.49	failed	0.03
F348617	Massospora cicadina	ingroup	25.15	failed	0.00
F76012	Neoconidiobolus thromboides	ingroup	7.71	failed	0.00
F144530	Ambispora gerdemannii	ingroup	4.68	failed	0.00
F144679	Ambispora leptoticha	ingroup	7.51	failed	0.00
F50956	Geosiphon pyriformis	ingroup	7.48	failed	0.00
F27376	Acaulospora colombiana	ingroup	44.70	failed	0.00
F1348612	Diversispora epigaea	ingroup	6.05	failed	0.00
F4874	Gigaspora margarita	ingroup	25.52	failed	0.00
F2562287	Entrophospora sp. SA101	ingroup	13.45	failed	0.00
F1117311	Funneliformis geosporum	ingroup	7.68	failed	0.00
