split_smaller_side_taxa	smaller_side_taxa	status	profile_branch_length	mafft_branch_length
F1314805;F135208;F152956;F40492;F48021;F984962	6	shared	0.0714819734	0.0754413096
F139363;F156515;F170446;F1750568;F264124;F456999	6	shared	0.0253835659	0.0270507964
F147570;F2024903;F2082308;F2601811;F2781224;F5580	6	shared	0.043772809	0.0453439866
F170000;F181123;F1938712;F203908;F208348;F60197	6	profile_only	0.0528866801	
F173216;F1738374;F2034170;F5544;F58853;F65468	6	shared	0.014368245	0.0164118728
F1754190;F1754191;F1754192;F2767002;F3108450;F73868	6	shared	0.4078243648	0.4443285308
F241526;F42374;F5476;F5479;F5482;F5486	6	shared	0.4142104852	0.3895323284
O133409;O1890364;O44689;O529818;O5755;O5786	6	shared	0.0871381884	0.0737745186
F1004511;F235537;F41956;F67723;F71933;F87326;F933333	7	shared	0.094176239	0.0999713635
F1093900;F148304;F148305;F226899;F29908;F36779;F61273	7	shared	0.0264359203	0.025415819
F109876;F28583;F4808;F64504;F64505;F64508;F945690	7	shared	0.1841220699	0.1679221076
F1116844;F164576;F174425;F2796175;F2939403;F2939404;F318774	7	shared	0.0264066351	0.0311798102
F1117311;F1348612;F2562287;F27376;F4874;F588596;F658196	7	shared	0.0594894797	0.0652278353
F112072;F2778381;F29899;F34349;F44565;F5414;F69979	7	mafft_only		0.0319978026
F112417;F113071;F1419009;F150792;F2834505;F467971;F68786	7	shared	0.0269494522	0.0289880195
F1141098;F1276059;F1658444;F1682393;F326681;F326684;F393283	7	shared	0.0749520867	0.0827625045
F114524;F114525;F27291;F27292;F332112;F4932;F706196	7	profile_only	0.0121757638	
F116603;F1912936;F1912939;F48563;F48565;F48586;F48587	7	shared	0.0020520284	0.0012637973
F120017;F1269715;F1673888;F1882483;F280036;F84751;F84753	7	shared	0.0821772317	0.0822172157
F1209916;F1209934;F145971;F1671311;F34406;F710243;F80884	7	shared	0.0144883122	0.0135371984
F1286916;F1712513;F1851185;F1851187;F1907219;F278681;F78915	7	mafft_only		0.0520910229
F129515;F1397036;F1590129;F1940652;F209281;F223409;F2704026	7	mafft_only		0.0224789804
F158046;F1690604;F2486360;F293227;F2977754;F3060298;F364733	7	shared	0.0948350795	0.0942840101
F1859096;F1859121;F1859122;F37769;F40410;F5207;F552467	7	shared	0.0707151474	0.0694941808
F2656787;F2939399;F3342545;F342668;F40559;F5101;F655981	7	shared	0.037791016	0.0530813627
O10228;O225164;O2700040;O283909;O45351;O6239;O7227	7	shared	0.0427017859	0.0490063502
O192875;O72019;OFS1403592;OFS5426458;OFS5426470;OFS5426494;OFS5426506	7	profile_only	0.0379604759	
F101028;F1042133;F117187;F36050;F5127;F5128;F5507;F5518	8	shared	0.0375969433	0.0374416174
F104341;F231932;F370292;F378194;F5365;F5630;F56493;F599839	8	shared	0.0214677791	0.0202878443
F1048955;F1176130;F1341166;F1504668;F253628;F50376;F703497;F703511	8	shared	0.0253201882	0.0247667391
F1052096;F122368;F147573;F1507870;F1507873;F1690608;F574656;F705562	8	shared	0.0278111276	0.0253716689
F1055551;F112072;F2778381;F29899;F34349;F44565;F5414;F69979	8	profile_only	0.0295140937	
F106004;F1323573;F269621;F288795;F289078;F3038894;F418498;F796604	8	shared	0.0362877712	0.0360868561
F1069201;F1220207;F162425;F1810926;F1810928;F41759;F5059;F5062	8	shared	0.0149867066	0.0155898753
F1080349;F114524;F114525;F230603;F27291;F27292;F332112;F4932	8	mafft_only		0.0144461013
F109876;F28583;F3075319;F4808;F64504;F64505;F64508;F945690	8	shared	0.099989002	0.0980062572
