taxon_id	species_name	study_role	lineage	models	proteins	intervals	clusters	profile_families	mafft_families
F5059	Aspergillus flavus	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	71	71	214	122	67	67
F5062	Aspergillus oryzae	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	67	68	197	115	63	63
F50956	Geosiphon pyriformis	ingroup	Glomeromycota;Glomeromycetes;Archaeosporales;Geosiphonaceae;Geosiphon	2	2	2	1	1	1
F50990	Rickenella mellea	ingroup	Basidiomycota;Agaricomycetes;Hymenochaetales;Rickenellaceae;Rickenella	4718	4734	11213	3511	1986	1986
F5101	Amorphotheca resinae	ingroup	Ascomycota;Leotiomycetes;Helotiales;Amorphothecaceae;Amorphotheca	3631	3631	9136	3417	1927	1927
F5116	Cryphonectria parasitica	ingroup	Ascomycota;Sordariomycetes;Diaporthales;Cryphonectriaceae;Cryphonectria	64	64	190	114	61	61
F5127	Fusarium fujikuroi	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	84	84	247	138	80	80
F5128	Fusarium sambucinum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	88	88	182	91	78	78
F5147	Sordaria macrospora	ingroup	Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Sordaria	50	50	168	99	48	48
F51930	Tortispora caseinolytica	ingroup	Ascomycota;Trigonopsidomycetes;Trigonopsidales;Trigonopsidaceae;Tortispora	2092	2092	5582	2380	1391	1391
F5207	Cryptococcus neoformans	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	95	95	281	165	90	90
F5208	Cryptococcus depauperatus	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	997	997	2476	1271	816	816
F5210	Filobasidium floriforme	ingroup	Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium	18	18	66	47	18	18
