taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota	125	27	23	23	49027	4281	3261	40066	4	1406	9	0.08731923225977523
F114524	Saccharomyces kudriavzevii	ingroup	Ascomycota	125	0	0	0	49027	0	2782	46245	0	0	0	0.0
F114525	Saccharomyces mikatae	ingroup	Ascomycota	125	0	0	0	49027	0	2727	46300	0	0	0	0.0
F27291	Saccharomyces paradoxus	ingroup	Ascomycota	125	28	25	25	49027	3809	2574	41727	8	902	7	0.07769188406388317
F27292	Saccharomyces pastorianus	ingroup	Ascomycota	125	0	0	0	49027	0	42813	6214	0	0	0	0.0
F230603	Saccharomyces uvarum	ingroup	Ascomycota	125	29	25	25	49027	3949	3237	40712	6	1115	8	0.08054745344402064
F29833	Hanseniaspora uvarum	ingroup	Ascomycota	125	28	27	27	49027	5324	11956	30659	6	1077	5	0.10859322414179942
F56409	Hanseniaspora vineae	ingroup	Ascomycota	125	28	27	27	49027	3626	4749	39843	7	795	7	0.07395924694556061
F36035	Saccharomycodes ludwigii	ingroup	Ascomycota	125	27	24	23	49027	4830	4094	39181	4	912	6	0.0985171436147429
F1099800	Saitoella coloradoensis	ingroup	Ascomycota	125	28	27	27	49027	3686	966	43718	8	644	5	0.07518306239419095
F5606	Saitoella complicata	ingroup	Ascomycota	125	30	27	27	49027	4777	2117	41073	11	1044	5	0.09743610663511942
F273283	Sarea resinae	ingroup	Ascomycota	125	28	27	27	49027	3542	1038	43650	8	781	8	0.07224590531747813
F400354	Loxospora ochrophaea	ingroup	Ascomycota	125	28	25	25	49027	3636	2551	41973	6	856	5	0.074163216186999
F1042397	Schaereria dolodes	ingroup	Ascomycota	125	28	23	23	49027	3451	3722	40979	6	866	3	0.07038978522038876
F4897	Schizosaccharomyces japonicus	ingroup	Ascomycota	125	0	0	0	49027	0	2152	46875	0	0	0	0.0
F2545709	Schizosaccharomyces osmophilus	ingroup	Ascomycota	125	0	0	0	49027	0	1688	47339	0	0	0	0.0
F4896	Schizosaccharomyces pombe	ingroup	Ascomycota	125	0	0	0	49027	0	2195	46832	0	0	0	0.0
F241526	Candida africana	ingroup	Ascomycota	125	28	28	26	49027	5851	23656	18750	6	760	4	0.11934240316560263
F5476	Candida albicans	ingroup	Ascomycota	125	0	0	0	49027	0	4297	44730	0	0	0	0.0
F42374	Candida dubliniensis	ingroup	Ascomycota	125	0	0	0	49027	0	4216	44811	0	0	0	0.0
F5479	Candida maltosa	ingroup	Ascomycota	125	28	26	25	49027	5224	6828	36011	3	958	3	0.10655353172741551
F5482	Candida tropicalis	ingroup	Ascomycota	125	0	0	0	49027	0	5588	43439	0	0	0	0.0
F5486	Candida viswanathii	ingroup	Ascomycota	125	0	0	0	49027	0	37019	12008	0	0	0	0.0
F2609844	Podospora pseudoanserina	ingroup	Ascomycota	125	28	26	26	49027	3436	1180	43406	9	994	2	0.07008383135823118
F72144	Remersonia thermophila	ingroup	Ascomycota	125	28	26	26	49027	3739	1329	43062	8	885	4	0.07626409937381443
F5147	Sordaria macrospora	ingroup	Ascomycota	125	11	11	11	49027	1999	1512	45103	3	410	0	0.04077345136353438
F2754530	Protomyces lactucae-debilis	ingroup	Ascomycota	125	0	0	0	49027	0	1776	47251	0	0	0	0.0
F5011	Taphrina deformans	ingroup	Ascomycota	125	0	0	0	49027	0	6053	42974	0	0	0	0.0
F1145299	Brigantiaea leucoxantha	ingroup	Ascomycota	125	28	25	25	49027	3466	8409	36008	6	1138	0	0.07069573908254635
F1145321	Letrouitia subvulpina	ingroup	Ascomycota	125	28	20	20	49027	3052	6393	38417	9	1149	7	0.06225141248699696
F116982	Xanthoria calcicola	ingroup	Ascomycota	125	28	23	23	49027	3472	7023	37617	6	902	7	0.07081812062740939
F3342545	Pseudogymnoascus australis	ingroup	Ascomycota	125	28	24	24	49027	3424	4625	39937	9	1027	5	0.06983906826850511
F655981	Pseudogymnoascus destructans	ingroup	Ascomycota	125	11	10	10	49027	2693	1853	44186	3	290	2	0.05492891671935872
F342668	Pseudogymnoascus verrucosus	ingroup	Ascomycota	125	0	0	0	49027	0	635	48392	0	0	0	0.0
F1116844	Thelocarpon impressellum	ingroup	Ascomycota	125	28	25	25	49027	3643	1489	42932	10	943	10	0.07430599465600587
F2939404	Thelocarpon superellum	ingroup	Ascomycota	125	28	26	26	49027	3529	2278	42180	10	1023	7	0.07198074530360822
F1093900	Thyridium curvatum	ingroup	Ascomycota	125	0	0	0	49027	0	1218	47809	0	0	0	0.0
F223192	Phaeoacremonium minimum	ingroup	Ascomycota	125	0	0	0	49027	0	3709	45318	0	0	0	0.0
F2918522	Lignoscripta atroalba	ingroup	Ascomycota	125	28	23	23	49027	3372	1336	43348	9	954	8	0.06877842821302547
F129515	Trapelia coarctata	ingroup	Ascomycota	125	28	24	24	49027	3298	2387	42258	6	1076	2	0.06726905582638139
F51930	Tortispora caseinolytica	ingroup	Ascomycota	125	0	0	0	49027	0	2707	46320	0	0	0	0.0
F2939406	Bogoriella megaspora	ingroup	Ascomycota	125	28	25	25	49027	3339	2169	42555	7	947	10	0.06810532971627878
F364730	Trypethelium subeluteriae	ingroup	Ascomycota	125	28	22	22	49027	3309	8982	35921	9	794	12	0.0674934219919636
F1048519	Viridothelium virens	ingroup	Ascomycota	125	0	0	0	49027	0	866	48161	0	0	0	0.0
