model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	baseline_mean_rsa	baseline_mean_aa_log1p_rate	baseline_estimate	sensitivity_estimate	sensitivity_minus_baseline	paired_draws	excluded_singular_draws	percentile_lower	percentile_upper
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.2650488784086919	0.6052395704588825	-0.18288066504253092	-0.18321427173579913	-0.0003336066932682069	2000	0	-0.001172343206160344	0.0004739242837682682
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_at_RSA_025	0.2650488784086919	0.6052395704588825	0.09529350764410725	0.09656984647807332	0.0012763388339660647	2000	0	-0.0027179308717858106	0.005495965521121432
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	rsa_at_aa_log_rate_0	0.2650488784086919	0.6052395704588825	-0.21648982492381358	-0.21964959312549834	-0.0031597682016847595	2000	0	-0.007161370284932567	1.3241056203539826e-05
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	interaction	0.2650488784086919	0.6052395704588825	-0.002319991313027678	0.0013849262553305363	0.003704917568358214	2000	0	-0.0012678343556242987	0.010249120317539488
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_at_baseline_mean_RSA	0.2650488784086919	0.6052395704588825	0.09525859437692828	0.09659068806489479	0.0013320936879665096	2000	0	-0.0026391150507690817	0.00550628165552556
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.2650488784086919	0.6052395704588825	-0.21789397546957878	-0.21881138095360486	-0.0009174054840260792	2000	0	-0.0024233186774938443	0.0005411125698191466
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_at_RSA_025	0.30986614762374826	0.6052395704588825	0.19356528223040942	0.19391327648874765	0.00034799425833823006	2000	0	-0.0009285606466151661	0.0016181771564399282
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	rsa_at_aa_log_rate_0	0.30986614762374826	0.6052395704588825	-0.1466506093218184	-0.14854204320208944	-0.0018914338802710484	2000	0	-0.004799578894736883	0.00043849617823627743
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	interaction	0.30986614762374826	0.6052395704588825	-0.008271234457733229	-0.005703393071140054	0.0025678413865931745	2000	0	-0.0013949865217270725	0.007701711883102073
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_at_baseline_mean_RSA	0.30986614762374826	0.6052395704588825	0.19307011528733212	0.19357183631719452	0.0005017210298624009	2000	0	-0.00070773251510181	0.0017462039899967452
