taxon_id	species_name	study_role	lineage	candidate_proteins	TFIIB_hit_proteins	BRF1_hit_proteins	Zn_Ribbon_TF_hit_proteins	unresolved_gene_candidates
F1006475	Circinaria calcarea	ingroup	Ascomycota;Lecanoromycetes;Pertusariales;Megasporaceae;Circinaria	2	2	0	1	0
F90408	Icmadophila ericetorum	ingroup	Ascomycota;Lecanoromycetes;Pertusariales;Icmadophilaceae;Icmadophila	2	2	1	1	0
F1174673	Morchella importuna	ingroup	Ascomycota;Pezizomycetes;Pezizales;Morchellaceae;Morchella	4	4	1	4	0
F43433	Tricharina praecox	ingroup	Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Tricharina	3	2	1	3	0
F39416	Tuber melanosporum	ingroup	Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber	2	2	1	2	0
F158046	Phaeomoniella chlamydospora	ingroup	Ascomycota;Eurotiomycetes;Phaeomoniellales;Phaeomoniellaceae;Phaeomoniella	3	3	1	1	0
F703511	Trichodelitschia bisporula	ingroup	Ascomycota;Dothideomycetes;Phaeotrichales;Phaeotrichaceae;Trichodelitschia	2	2	1	1	0
F4927	Hansenula anomala	ingroup	Ascomycota;Saccharomycetes;Phaffomycetales;Wickerhamomycetaceae;Hansenula	2	2	1	1	0
F599730	Waltiozyma pijperi	ingroup	Ascomycota;Saccharomycetes;Phaffomycetales;Wickerhamomycetaceae;Waltiozyma	2	2	1	1	0
F4903	Williopsis jadinii	ingroup	Ascomycota;Saccharomycetes;Phaffomycetales;Wickerhamomycetaceae;Williopsis	2	2	1	1	0
F1825666	Phyllachora maydis	ingroup	Ascomycota;Sordariomycetes;Phyllachorales;Phyllachoraceae;Phyllachora	2	2	1	1	0
F1276059	Polystigma amygdalinum	ingroup	Ascomycota;Sordariomycetes;Phyllachorales;Phyllachoraceae;Polystigma	2	2	1	1	0
F13502	Brettanomyces nanus	ingroup	Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Brettanomyces	3	3	1	2	0
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Ogataea	3	3	1	2	0
F4909	Pichia kudriavzevii	ingroup	Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Pichia	2	2	1	2	0
F48095	Alternaria dauci	ingroup	Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria	2	2	1	1	0
F5454	Ascochyta rabiei	ingroup	Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Ascochyta	2	2	1	1	0
F5022	Plenodomus lingam	ingroup	Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Plenodomus	2	2	1	1	0
F4754	Pneumocystis carinii	ingroup	Ascomycota;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis	2	2	1	2	0
F42068	Pneumocystis jirovecii	ingroup	Ascomycota;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis	2	2	1	2	0
F263815	Pneumocystis murina	ingroup	Ascomycota;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis	2	2	1	2	0
F2977754	Pyrenula ochraceoflavens	ingroup	Ascomycota;Eurotiomycetes;Pyrenulales;Pyrenulaceae;Pyrenula	2	2	1	1	0
F3060298	Pyrenula sp. 1 TL-2023	ingroup	Ascomycota;Eurotiomycetes;Pyrenulales;Pyrenulaceae;Pyrenula	2	2	1	1	0
F1453789	Toensbergia leucococca	ingroup	Ascomycota;Lecanoromycetes;Rhizocarpales;Sporastatiaceae;Toensbergia	2	2	1	1	0
F706196	Saccharomyces arboricola	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	1	1	0	1	0
F4932	Saccharomyces cerevisiae	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	3	3	1	2	0
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	4	4	1	3	0
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	2	2	1	2	0
F114524	Saccharomyces kudriavzevii	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	2	2	1	2	0
F114525	Saccharomyces mikatae	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	3	3	1	2	0
F27291	Saccharomyces paradoxus	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	3	3	1	2	0
F27292	Saccharomyces pastorianus	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	5	5	2	4	0
F230603	Saccharomyces uvarum	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	2	2	1	2	0
F29833	Hanseniaspora uvarum	ingroup	Ascomycota;Saccharomycetes;Saccharomycodales;Saccharomycodaceae;Hanseniaspora	3	3	1	2	0
F56409	Hanseniaspora vineae	ingroup	Ascomycota;Saccharomycetes;Saccharomycodales;Saccharomycodaceae;Hanseniaspora	2	2	1	2	0
F36035	Saccharomycodes ludwigii	ingroup	Ascomycota;Saccharomycetes;Saccharomycodales;Saccharomycodaceae;Saccharomycodes	2	2	1	2	0
F1099800	Saitoella coloradoensis	ingroup	Ascomycota;Saitoellomycetes;Saitoellales;Saitoellaceae;Saitoella	2	2	1	2	0
F5606	Saitoella complicata	ingroup	Ascomycota;Saitoellomycetes;Saitoellales;Saitoellaceae;Saitoella	2	2	1	2	0
F273283	Sarea resinae	ingroup	Ascomycota;Sareomycetes;Sareales;Zythiaceae;Sarea	2	2	1	1	0
