taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F114524	Saccharomyces kudriavzevii	ingroup	Ascomycota	125	119	117	117	49027	34968	2782	4409	21	6821	26	0.7132396434617659
F114525	Saccharomyces mikatae	ingroup	Ascomycota	125	10	10	10	49027	2639	2727	43128	3	530	0	0.05382748281559141
F27291	Saccharomyces paradoxus	ingroup	Ascomycota	125	6	6	6	49027	975	2574	45379	2	96	1	0.01988700104024313
F27292	Saccharomyces pastorianus	ingroup	Ascomycota	125	14	14	14	49027	5338	42813	0	2	866	8	0.10887878107981316
F230603	Saccharomyces uvarum	ingroup	Ascomycota	125	10	9	9	49027	1449	3237	44228	5	108	0	0.02955514308442287
F29833	Hanseniaspora uvarum	ingroup	Ascomycota	125	8	8	8	49027	1540	11956	35420	1	103	7	0.03141126318151223
F56409	Hanseniaspora vineae	ingroup	Ascomycota	125	0	0	0	49027	0	4749	44278	0	0	0	0.0
F36035	Saccharomycodes ludwigii	ingroup	Ascomycota	125	7	7	7	49027	1671	4094	42804	1	457	0	0.03408326024435515
F1099800	Saitoella coloradoensis	ingroup	Ascomycota	125	0	0	0	49027	0	966	48061	0	0	0	0.0
F5606	Saitoella complicata	ingroup	Ascomycota	125	6	6	6	49027	2783	2117	43831	0	296	0	0.05676463989230424
F273283	Sarea resinae	ingroup	Ascomycota	125	0	0	0	49027	0	1038	47989	0	0	0	0.0
F400354	Loxospora ochrophaea	ingroup	Ascomycota	125	0	0	0	49027	0	2551	46476	0	0	0	0.0
F1042397	Schaereria dolodes	ingroup	Ascomycota	125	0	0	0	49027	0	3722	45305	0	0	0	0.0
F4897	Schizosaccharomyces japonicus	ingroup	Ascomycota	125	7	6	6	49027	2082	2152	44348	1	442	2	0.042466396067473024
F2545709	Schizosaccharomyces osmophilus	ingroup	Ascomycota	125	8	8	8	49027	3257	1688	43379	2	700	1	0.06643278193648398
F4896	Schizosaccharomyces pombe	ingroup	Ascomycota	125	7	7	7	49027	1952	2195	44740	1	132	7	0.03981479592877394
F241526	Candida africana	ingroup	Ascomycota	125	0	0	0	49027	0	23656	25371	0	0	0	0.0
F5476	Candida albicans	ingroup	Ascomycota	125	7	7	7	49027	1995	4297	42576	1	157	1	0.040691863666959024
F42374	Candida dubliniensis	ingroup	Ascomycota	125	7	6	6	49027	1219	4216	43475	2	115	0	0.024863850531339875
F5479	Candida maltosa	ingroup	Ascomycota	125	6	6	6	49027	1412	6828	40118	2	667	0	0.028800456891100824
F5482	Candida tropicalis	ingroup	Ascomycota	125	6	5	5	49027	1058	5588	42188	1	191	1	0.02157994574418178
F5486	Candida viswanathii	ingroup	Ascomycota	125	6	6	6	49027	2719	37019	8793	0	494	2	0.05545923674709854
F2609844	Podospora pseudoanserina	ingroup	Ascomycota	125	0	0	0	49027	0	1180	47847	0	0	0	0.0
F72144	Remersonia thermophila	ingroup	Ascomycota	125	1	1	1	49027	532	1329	46995	0	170	1	0.010851163644522406
F5147	Sordaria macrospora	ingroup	Ascomycota	125	7	7	7	49027	1224	1512	46184	2	104	1	0.02496583515205907
F2754530	Protomyces lactucae-debilis	ingroup	Ascomycota	125	8	8	8	49027	2624	1776	44348	0	278	1	0.053521528953433824
F5011	Taphrina deformans	ingroup	Ascomycota	125	7	7	7	49027	1418	6053	41223	2	328	3	0.028922838435963858
F1145299	Brigantiaea leucoxantha	ingroup	Ascomycota	125	0	0	0	49027	0	8409	40618	0	0	0	0.0
F1145321	Letrouitia subvulpina	ingroup	Ascomycota	125	0	0	0	49027	0	6393	42634	0	0	0	0.0
F116982	Xanthoria calcicola	ingroup	Ascomycota	125	0	0	0	49027	0	7023	42004	0	0	0	0.0
F3342545	Pseudogymnoascus australis	ingroup	Ascomycota	125	1	1	1	49027	150	4625	44251	0	1	0	0.0030595386215758664
F655981	Pseudogymnoascus destructans	ingroup	Ascomycota	125	6	6	6	49027	1624	1853	45274	0	274	2	0.03312460480959471
F342668	Pseudogymnoascus verrucosus	ingroup	Ascomycota	125	8	8	8	49027	2055	635	45836	2	496	3	0.04191567911558937
F1116844	Thelocarpon impressellum	ingroup	Ascomycota	125	0	0	0	49027	0	1489	47538	0	0	0	0.0
F2939404	Thelocarpon superellum	ingroup	Ascomycota	125	0	0	0	49027	0	2278	46749	0	0	0	0.0
F1093900	Thyridium curvatum	ingroup	Ascomycota	125	8	8	8	49027	2767	1218	44571	0	470	1	0.05643828910600281
F223192	Phaeoacremonium minimum	ingroup	Ascomycota	125	8	8	8	49027	2830	3709	41856	0	629	3	0.05772329532706468
F2918522	Lignoscripta atroalba	ingroup	Ascomycota	125	0	0	0	49027	0	1336	47691	0	0	0	0.0
F129515	Trapelia coarctata	ingroup	Ascomycota	125	0	0	0	49027	0	2387	46640	0	0	0	0.0
