split_id	BRF1_enriched_side_tips	detected_on_enriched_side	undetected_on_enriched_side	detected_on_other_side	undetected_on_other_side	minimum_class_disagreements	SH_aLRT	UFBoot	branch_length
0x2000000000000000000000000000000000000000000010000000008000000000000001000000800000000000000000000002010000000a000000000000020000000000000000000000000000000040000000000000000000000000000000000000000000040000000000000000000000000080000000040	14	0	14	473	553	487	60.5	67.0	0.0733581956
0x800000000000000000000000400000000000000000000000000000000000000	2	0	2	473	565	475			1e-06
0x800000000000000000000002400000000000000000000000000000000000000	3	0	3	473	564	476	83.9	99.0	0.0061754199
0x800000000000000000000002400000000000020000000000000000000000000	4	0	4	473	563	477	77.2	98.0	0.0156717251
0x800000000000000000000002400000000000020000000000000000000020000	5	0	5	473	562	478	100.0	100.0	0.2272544187
0x10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000	2	0	2	473	565	475	77.5	45.0	0.0061232546
0x10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000	3	0	3	473	564	476	78.9	46.0	0.006305955
0x4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000	2	0	2	473	565	475	0.0	32.0	0.0118325796
0x90000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	85.6	62.0	0.0216642402
0xd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	89.3	57.0	0.0297402715
0xd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	4	0	4	473	563	477	32.2	25.0	0.0159695883
0xd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5	0	5	473	562	478	100.0	100.0	0.3700624539
0xd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000080000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000	6	0	6	473	561	479	88.4	70.0	0.0299164152
0x40000d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000080000000000000000000000020000000000000000000000000000000020000000000000000000000000000000000	8	0	8	473	559	481	47.9	71.0	0.0129672441
0x140000d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000080000000000000000000000020000000000000000000000000000000020000020000000000000000000000000000	11	0	11	473	556	484	0.0	19.0	0.000226099
0x140000d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000080000080000000000000000020000000000000000000000000000000020000020000000000000000000000000000	12	0	12	473	555	485	96.2	92.0	0.0712075138
0x140000d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000080000080000000000000000020000800000000000000000000002400020000020020000000000000000000020000	17	0	17	473	550	490	88.3	78.0	0.0616752068
0x20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000	2	0	2	473	565	475	95.4	100.0	0.0815420114
0x20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000	3	0	3	473	564	476	97.5	99.0	0.0999993368
0x10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	99.1	100.0	0.1610278807
0x100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	100.0	100.0	0.2101035909
0x20000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000800000000000000000000000200000000000000000000000000000000000	6	0	6	473	561	479	90.9	85.0	0.0690129667
0x20000000100000000000000000040000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000800000000000000000000000200000000000000000000000000000000000	7	0	7	473	560	480	76.6	56.0	0.0263427331
0x140000d0000000000000020000000100000000000000000040000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000100400000080000080000000000000000020000800800000000000000000002400220000020020000000000000000000020000	24	0	24	473	543	497	50.6	59.0	0.0491359665
0x800000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	10.2	51.0	0.0155315137
0x800000000000000000000000000000000000000000000000000000000000000000400000000020000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	99.5	99.0	0.1072954996
0x40000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000400000000020000000000000000000000000000000000000000000000000000	4	0	4	473	563	477	70.8	78.0	0.0520700929
0x40000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000200000400000000020000000000000000000000000000000000000000000000000000	5	0	5	473	562	478	100.0	100.0	0.5274992819
0x140000d0000000000000020000000100040000000000000040000000000000000000000000000000010000000000000000000000000000000800010000000000000000000000100400000080000080000000000000000220000c00800000020000000000002400220000020020000000000000000000020000	29	0	29	473	538	502	100.0	100.0	0.3812273207
0x140200d000000000000002000000010004000000000000014000000008000000000000001000000801000000000000000000002010000000a800010000000020000000000000100400000080000080040000000000000220000c00800000020000000000002440220000020020000000000000080000020040	43	0	43	473	524	516	81.3	34.0	0.0597897326
0x30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	100.0	100.0	0.1703834426
0x30000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	83.4	80.0	0.0475620701
0x30000000000000000000000000000000000000000000000000000000000800000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	4	0	4	473	563	477	99.4	100.0	0.1871515962
0x30000000000000000000000000000000000000000000000000000000000800000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000	5	0	5	473	562	478	47.7	68.0	0.0477911121
0x30000000000000000000000000008000000000000000000000000000000800000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000	6	0	6	473	561	479	76.3	58.0	0.0447207607
