taxon_id	species_name	study_role	lineage	input_models	retained_models	deferred_models	retained_representatives	retained_nonself_members	retained_fraction	nonself_retained_fraction	input_markers	retained_markers	input_taxa	retained_taxa
F370292	Thelephora ganbajun	ingroup	Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Thelephora	28	23	5	4	19	0.8214285714285714	0.7916666666666666	28	23	1	1
F56493	Thelephora terrestris	ingroup	Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Thelephora	6	5	1	0	5	0.8333333333333334	0.8333333333333334	6	5	1	1
F13290	Tilletia caries	ingroup	Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia	28	26	2	12	14	0.9285714285714286	0.875	28	26	1	1
F13291	Tilletia controversa	ingroup	Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia	21	19	2	11	8	0.9047619047619048	0.8	21	19	1	1
F157183	Tilletia laevis	ingroup	Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia	23	21	2	9	12	0.9130434782608695	0.8571428571428571	23	21	1	1
F1031713	Tilletia maclaganii	ingroup	Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia	0	0	0	0	0			0	0	0	0
F117179	Tilletia walkeri	ingroup	Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia	8	6	2	2	4	0.75	0.6666666666666666	8	6	1	1
F104669	Cryptococcus amylolentus	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	8	7	1	2	5	0.875	0.8333333333333334	8	7	1	1
F552467	Cryptococcus bacillisporus	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	0	0	0	0	0			0	0	0	0
F1859122	Cryptococcus decagattii	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	1	1	0	0	1	1.0	1.0	1	1	1	1
F40410	Cryptococcus deneoformans	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	6	6	0	1	5	1.0	1.0	6	6	1	1
F5208	Cryptococcus depauperatus	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	7	7	0	1	6	1.0	1.0	7	7	1	1
F1859096	Cryptococcus deuterogattii	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	8	8	0	0	8	1.0	1.0	8	8	1	1
F37769	Cryptococcus gattii	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	7	7	0	2	5	1.0	1.0	7	7	1	1
F5207	Cryptococcus neoformans	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	7	7	0	1	6	1.0	1.0	7	7	1	1
F1859121	Cryptococcus tetragattii	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	0	0	0	0	0			0	0	0	0
F5619	Cryptococcus wingfieldii	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	6	6	0	1	5	1.0	1.0	6	6	1	1
