taxon_id	species_name	study_role	lineage	marker_links	unique_source_cds	no_source_cds	multiple_source_cds_records	alternative_product_markers	unresolved_gene_markers
F2939406	Bogoriella megaspora	ingroup	Ascomycota	123	123	0	0	0	0
F364730	Trypethelium subeluteriae	ingroup	Ascomycota	112	112	0	0	0	0
F1048519	Viridothelium virens	ingroup	Ascomycota	124	124	0	0	0	0
F318760	Hypocenomyce scalaris	ingroup	Ascomycota	124	124	0	0	0	0
F136370	Lasallia pustulata	ingroup	Ascomycota	120	120	0	0	0	0
F87287	Umbilicaria vellea	ingroup	Ascomycota	111	111	0	0	0	0
F1048955	Tothia fuscella	ingroup	Ascomycota	125	125	0	0	0	0
F50376	Venturia effusa	ingroup	Ascomycota	124	124	0	0	0	0
F253628	Verruconis gallopava	ingroup	Ascomycota	111	111	0	0	0	0
F364733	Endocarpon pusillum	ingroup	Ascomycota	116	116	0	0	0	0
F2939408	Vezdaea acicularis	ingroup	Ascomycota	123	123	0	0	0	0
F2939405	Vezdaea aestivalis	ingroup	Ascomycota	122	122	0	0	0	0
F326681	Hypoxylon trugodes	ingroup	Ascomycota	124	124	0	0	0	0
F1682393	Microdochium trichocladiopsis	ingroup	Ascomycota	124	124	0	0	0	0
F326684	Xylaria bambusicola	ingroup	Ascomycota	124	124	0	0	0	0
F1130053	Cirrosporium novae-zelandiae	ingroup	Ascomycota	120	120	0	0	0	0
F1217826	Xylona heveae	ingroup	Ascomycota	124	124	0	0	0	0
F423460	Basidiobolus meristosporus	ingroup	Basidiobolomycota	107	107	0	0	0	0
F34480	Basidiobolus ranarum	ingroup	Basidiobolomycota	90	90	0	0	0	0
F87326	Amanita brunnescens	ingroup	Basidiomycota	102	102	0	0	1	0
F933333	Amanita inopinata	ingroup	Basidiomycota	121	121	0	0	0	0
F41956	Amanita muscaria	ingroup	Basidiomycota	120	120	0	0	0	0
F67723	Amanita phalloides	ingroup	Basidiomycota	125	125	0	0	0	0
F1004511	Amanita polypyramis	ingroup	Basidiomycota	109	109	0	0	0	0
F71933	Amanita rubescens	ingroup	Basidiomycota	109	109	0	0	0	0
F235537	Amanita thiersii	ingroup	Basidiomycota	125	125	0	0	0	0
F89243	Laccaria amethystina	ingroup	Basidiomycota	121	121	0	0	0	0
F29883	Laccaria bicolor	ingroup	Basidiomycota	111	111	0	0	0	0
F44565	Sterigmatomyces hyphaenes	ingroup	Basidiomycota	124	124	0	0	0	0
F2831993	Plicatura crispa	ingroup	Basidiomycota	123	123	0	0	0	0
F1759441	Athelia psychrophila	ingroup	Basidiomycota	114	114	0	0	0	0
F2748771	Athelia sp. TMB	ingroup	Basidiomycota	43	43	0	0	0	0
F80663	Piloderma croceum	ingroup	Basidiomycota	121	121	0	0	0	0
F1938712	Atractiella rhizophila	ingroup	Basidiomycota	101	101	0	0	0	0
F1331295	Auricularia subglabra	ingroup	Basidiomycota	118	118	0	0	0	0
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	ingroup	Basidiomycota	121	121	0	0	0	0
F5219	Exidia glandulosa	ingroup	Basidiomycota	97	97	0	0	0	0
F48563	Suillus bovinus	ingroup	Basidiomycota	124	124	0	0	0	0
F48565	Suillus brevipes	ingroup	Basidiomycota	122	122	0	0	0	0
F1904413	Suillus clintonianus	ingroup	Basidiomycota	123	123	0	0	0	0
F1912936	Suillus discolor	ingroup	Basidiomycota	123	123	0	0	0	0
F1912939	Suillus fuscotomentosus	ingroup	Basidiomycota	117	117	0	0	0	0
F48578	Suillus paluster	ingroup	Basidiomycota	121	121	0	0	0	0
F116603	Suillus plorans	ingroup	Basidiomycota	121	121	0	0	0	0
F48586	Suillus subalutaceus	ingroup	Basidiomycota	120	120	0	0	0	0
F48587	Suillus subaureus	ingroup	Basidiomycota	116	116	0	0	0	0
F48593	Suillus weaverae	ingroup	Basidiomycota	123	123	0	0	0	0
F264124	Botryobasidium botryosum	ingroup	Basidiomycota	123	123	0	0	0	0
F1750568	Cantharellus anzutake	ingroup	Basidiomycota	106	106	0	0	0	0
F170446	Ceratobasidium sp. AG-Ba	ingroup	Basidiomycota	19	19	0	0	0	0
F139363	Hydnum rufescens	ingroup	Basidiomycota	118	118	0	0	0	0
F456999	Rhizoctonia solani	ingroup	Basidiomycota	116	116	0	0	0	0
F156515	Tulasnella calospora	ingroup	Basidiomycota	105	105	0	0	0	0
F401625	Ceraceosorus bombacis	ingroup	Basidiomycota	111	111	0	0	0	0
F1522189	Ceraceosorus guamensis	ingroup	Basidiomycota	123	123	0	0	0	0
F203533	Classicula fluitans	ingroup	Basidiomycota	116	116	0	0	0	0
F202698	Punctularia strigosozonata	ingroup	Basidiomycota	123	123	0	0	0	0
F2778381	Cyphobasidiales sp. Tagirdzhanova-0007	ingroup	Basidiomycota	118	118	0	0	0	0
F29899	Cystobasidium minutum	ingroup	Basidiomycota	125	125	0	0	0	0
