split_id	BRF1_enriched_side_tips	detected_on_enriched_side	undetected_on_enriched_side	detected_on_other_side	undetected_on_other_side	minimum_class_disagreements	SH_aLRT	UFBoot	branch_length
0x2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000400000000000000000000000000000000000001000000000000000000000000000000000000040000000000	5	0	5	473	562	478	75.4	66.0	0.0320328115
0x200000000000000000000000000000000010020000000000180000000000000000000000000000004000020000000000000000000000000000000200000000000000000000000000000000000044c000000000000000000000000000000000001000000000000000000000000000000000000040020000000	15	0	15	473	552	488	99.9	100.0	0.5862510492
0x200200000000000000000000000000000000010020000000000580000000000000000000000000000004000020000000000000000000000000000000200000000000000080000000000000000000044c000000000000000000000000000000000001400000000000000000000000000000000000040030000000	20	0	20	473	547	493	93.0	97.0	0.2307180359
0x400800250210000000000482000000800000100000450020000000a0258004000000000555004040000000200c000928000000000000000009000000001480200520000000803280028400000400080002944d000000101000140000000001080000000001504600014010000000000000400840004000040032800002	950	473	477	0	90	477	82.9	80.0	0.0772833331
0x400800250210000000000482000000800000100000450020000000a0258004000000000555004040000000200c000928000000000000000009000000001480200520000000803280028400000400080002944d000000101000140000000201080000000001504600014010000000000000400840004000040032800002	949	473	476	0	91	476	95.5	98.0	0.1668816094
0x2000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	100.0	100.0	0.848349509
0x2000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000	3	0	3	473	564	476	83.4	71.0	0.126526784
0x8000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	89.4	84.0	0.0272483775
0x2400000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	0.0	100.0	2.5432e-06
0x8000000000000000000000000000000002400000000004000000000000000000000000000000000000000000000000000000000000	4	0	4	473	563	477	92.3	95.0	0.165330715
0x8000000000000000000000000000000002400000000004000000000000000000000000000200000000000000000000000000000000	5	0	5	473	562	478	97.7	99.0	0.3381067575
0x2000000000000000000000000040000008000000000000000000000000000000002400000000004000000000000000000000000000200000000000000000000010000000000	8	0	8	473	559	481	49.0	40.0	0.0999334841
0x2800000000000000000000000000000000	2	0	2	473	565	475	100.0	100.0	1.702518785
0x4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002800000000000000000000000000000000	3	0	3	473	564	476	88.8	51.0	0.6569220337
0x10000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002800000000000000000000000000000000	4	0	4	473	563	477	21.2	18.0	0.1013594828
0x8000000000000000000010000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002800000000000000000000000000000000	5	0	5	473	562	478	85.5	18.0	0.1348123318
0x8000000000000000000010000004002000000000000000000000000040000008000000000000000000000000000000002400000000004000000000000000000000000002a00000000000000000000010000000000	13	0	13	473	554	486	82.4	25.0	0.068369659
0x8000000000000000000000000000000000000000000000000000000000008000000000000000000010000004002000000000000000000000000040000008000000000000000000000000000000002400000000004000000000000000000000000002a00000000000000000000010000000000	14	0	14	473	553	487	72.3	27.0	0.0237842273
0x400800250210000000000c82000000800000100000450020000000a0258004000000000555004040080000200c000928000001000000400209000000001480200520000004803280828400000400080002944d000000101002540000000205080000000001504600014010002a00000000400840004000050032800002	935	473	462	0	105	462	92.9	36.0	0.0637277238
0x100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040	2	0	2	473	565	475	85.9	87.0	0.0739635369
0x100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040	3	0	3	473	564	476	99.4	100.0	0.2464887708
0x80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	27.9	53.0	0.0234162893
0x100000000080000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000040	5	0	5	473	562	478	99.6	100.0	0.2880868945
0x20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475			1e-06
0x2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	0.0	100.0	2.7183e-06
0x2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	4	0	4	473	563	477	87.1	97.0	0.0798062542
0x2000000000000000000000000000000000000000000010000000008000000000000000000000000000000000000000000000010000000a000000000000020000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000040	9	0	9	473	558	482	89.8	96.0	0.0815280976
0x2000000000000000000000000000000000000000000010000000008000000000000000000000000000000000000000000000010000000a000000000000020000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000080000000040	10	0	10	473	557	483	81.5	81.0	0.0602444445
0x20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000	2	0	2	473	565	475	57.6	38.0	0.0311519409
0x8000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000	3	0	3	473	564	476	77.9	38.0	0.0501844012
0x2000000000000000000000000000000000000000000010000000008000000000000000000000800000000000000000000002010000000a000000000000020000000000000000000000000000000040000000000000000000000000000000000000000000040000000000000000000000000080000000040	13	0	13	473	554	486	95.4	90.0	0.2666913019
0x2000000000000000000000000000000000000000000010000000008000000000000001000000800000000000000000000002010000000a000000000000020000000000000000000000000000000040000000000000000000000000000000000000000000040000000000000000000000000080000000040	14	0	14	473	553	487	84.9	88.0	0.2024283258
0x2000000000000000000000000000000000000000000010000000008000000000000001000000800000000000000000000002010000000a000000000000020000000000000000000010000000000040000000000000000000000000000000000000000000040000000000000000000000000080000000040	15	0	15	473	552	488	84.3	83.0	0.1317098686
0x2000000000000000000000000000000000000000000010000000008000000000000001000000800000000000000000000002010000000a000000000000020000000000000000000010000000000040000000000000000000000000000000000000000000040000000000000000004000000080000000040	16	0	16	473	551	489	7.1	30.0	0.0342553075
0x30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	96.2	100.0	0.1306343796
0x30000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	64.5	57.0	0.0347656379
0x30000000000000000000000000000000000000000000000000000000000800000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	4	0	4	473	563	477	99.4	100.0	0.2837048783
0x2000000000000000000000000000000000000000003010000000008000000000000001000000800000000000000000000002090000000a000000400000020000000000000000000010000000000040000000000000000000000000000000000000000000040000000000000000004000000080000000040	20	0	20	473	547	493	90.1	75.0	0.1350249637
0x400800250212000000000c82000000800000100000450020000003a1258004000800000555004040180000280c000928000001000000402299000000a01480240520002004803280828400000401080002944d040000101002540000000205080000000001504600014050002a000000004008440040000d0032800042	915	473	442	0	125	442	74.2	25.0	0.0341391438
0x3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	95.0	97.0	0.0735597757
0x3000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	59.6	19.0	0.0281941574
0x6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	84.6	40.0	0.0401628542
0x6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	90.7	94.0	0.0830310034
