taxon_id	species_name	study_role	lineage_group	dataset	selection_reason
F1048519	Viridothelium virens	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F318760	Hypocenomyce scalaris	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F136370	Lasallia pustulata	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F87287	Umbilicaria vellea	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1048955	Tothia fuscella	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F50376	Venturia effusa	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F253628	Verruconis gallopava	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F364733	Endocarpon pusillum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2939408	Vezdaea acicularis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2939405	Vezdaea aestivalis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F326681	Hypoxylon trugodes	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1682393	Microdochium trichocladiopsis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F326684	Xylaria bambusicola	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1130053	Cirrosporium novae-zelandiae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1217826	Xylona heveae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F423460	Basidiobolus meristosporus	ingroup	Basidiobolomycota	fungi_odb12.2	Fungal parent panel; no selected narrower panel
F34480	Basidiobolus ranarum	ingroup	Basidiobolomycota	fungi_odb12.2	Fungal parent panel; no selected narrower panel
F87326	Amanita brunnescens	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F933333	Amanita inopinata	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F41956	Amanita muscaria	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F67723	Amanita phalloides	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F1004511	Amanita polypyramis	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F71933	Amanita rubescens	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F235537	Amanita thiersii	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F89243	Laccaria amethystina	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F29883	Laccaria bicolor	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F44565	Sterigmatomyces hyphaenes	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F2831993	Plicatura crispa	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F1759441	Athelia psychrophila	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F2748771	Athelia sp. TMB	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F80663	Piloderma croceum	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F1938712	Atractiella rhizophila	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F1331295	Auricularia subglabra	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F5219	Exidia glandulosa	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F48563	Suillus bovinus	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F48565	Suillus brevipes	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F1904413	Suillus clintonianus	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F1912936	Suillus discolor	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F1912939	Suillus fuscotomentosus	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F48578	Suillus paluster	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F116603	Suillus plorans	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F48586	Suillus subalutaceus	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F48587	Suillus subaureus	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F48593	Suillus weaverae	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F264124	Botryobasidium botryosum	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F1750568	Cantharellus anzutake	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F170446	Ceratobasidium sp. AG-Ba	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
F139363	Hydnum rufescens	ingroup	Basidiomycota	basidiomycota_odb12.2	Exact manifest-group panel
