taxon_id	proteins_checked	marker_query_links	additional_query_links
F746128	9823	125	9698
F76012	8866	120	8746
F76775	4406	122	4284
F76777	3318	111	3207
F77020	4202	120	4082
F78915	6857	96	6761
F78921	12150	23	12127
F796027	5128	114	5014
F796604	13241	123	13118
F80663	21519	121	21398
F80884	14651	122	14529
F82268	15173	123	15050
F82508	8311	118	8193
F84751	6877	124	6753
F84753	6764	122	6642
F87287	7084	111	6973
F87326	14506	101	14405
F89243	17550	121	17429
F89922	7205	121	7084
F90408	10886	122	10764
F911321	11722	121	11601
F91480	7578	119	7459
F91625	9033	122	8911
F91930	12275	125	12150
F92988	9078	119	8959
F933333	7564	121	7443
F945690	7608	108	7500
F97331	9897	124	9773
F979620	12578	119	12459
F979690	12079	119	11960
F979761	10951	116	10835
F984962	13269	120	13149
F994334	13124	85	13039
O10228	11304	121	11183
O133409	10568	122	10446
O1890364	17124	116	17008
O192875	8621	119	8502
O225164	23818	120	23698
O2700040	23795	100	23695
O27923	19625	110	19515
O283909	31977	118	31859
O400682	20215	109	20106
O44689	13291	121	13170
O45351	19231	100	19131
O529818	10515	115	10400
O5755	14968	104	14864
O5786	12395	118	12277
O6239	19983	115	19868
O691883	5901	109	5792
O72019	18213	87	18126
O7227	13986	80	13906
O81824	9202	115	9087
O946362	11618	118	11500
OFS1403592	8694	122	8572
OFS5426458	17283	7	17276
OFS5426470	7535	125	7410
OFS5426494	12463	121	12342
OFS5426506	21835	7	21828
