taxon_id	species_name	duplicated_markers	duplicated_markers_one_full_sequence	markers_with_identical_distinct_gene_pair	distinct_gene_pairs	exact_identical_distinct_gene_pairs
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	1	0	0	1	0
F5219	Exidia glandulosa	24	2	2	28	2
F48563	Suillus bovinus	1	0	0	1	0
F48565	Suillus brevipes	3	1	1	3	1
F1904413	Suillus clintonianus	1	0	0	1	0
F1912936	Suillus discolor	2	0	0	2	0
F1912939	Suillus fuscotomentosus	7	2	2	7	2
F48578	Suillus paluster	3	0	0	3	0
F116603	Suillus plorans	4	0	0	9	0
F48586	Suillus subalutaceus	3	1	1	5	1
F48587	Suillus subaureus	5	1	1	5	1
F48593	Suillus weaverae	1	0	0	1	0
F264124	Botryobasidium botryosum	2	0	0	2	0
F1750568	Cantharellus anzutake	16	2	2	16	2
F170446	Ceratobasidium sp. AG-Ba	104	10	10	106	10
F139363	Hydnum rufescens	3	0	0	3	0
F456999	Rhizoctonia solani	1	0	0	1	0
F156515	Tulasnella calospora	7	0	0	9	0
F401625	Ceraceosorus bombacis	0	0	0	0	0
F1522189	Ceraceosorus guamensis	0	0	0	0	0
F203533	Classicula fluitans	7	6	6	7	6
F202698	Punctularia strigosozonata	1	0	0	1	0
F2778381	Cyphobasidiales sp. Tagirdzhanova-0007	0	0	0	0	0
F29899	Cystobasidium minutum	0	0	0	0	0
F29902	Mrakia frigida	0	0	0	0	0
F264483	Phaffia rhodozyma	0	0	0	0	0
F29889	Calocera cornea	0	0	0	0	0
F63146	Calocera viscosa	3	0	0	3	0
F1858805	Dacryopinax primogenitus	2	0	0	2	0
F58919	Tilletiopsis washingtonensis	0	0	0	0	0
F5414	Erythrobasidium hasegawianum	1	0	0	1	0
F215250	Acaromyces ingoldii	0	0	0	0	0
F63378	Exobasidium rhododendri	0	0	0	0	0
F1280837	Meira miltonrushii	0	0	0	0	0
F5210	Filobasidium floriforme	0	0	0	0	0
F610337	Naganishia cerealis	32	0	0	32	0
F89922	Naganishia friedmannii	1	0	0	1	0
F104408	Naganishia liquefaciens	0	0	0	0	0
F1424756	Naganishia vaughanmartiniae	0	0	0	0	0
F68786	Sphaerobolus stellatus	13	5	5	13	5
F1230402	Basidioascus undulatus	0	0	0	0	0
F5281	Tilletiaria anomala	1	0	0	1	0
F104355	Gloeophyllum trabeum	0	0	0	0	0
F5364	Heliocybe sulcata	1	0	0	1	0
F38799	Neolentinus lepideus	2	0	0	4	0
F112417	Gautieria morchelliformis	3	0	0	3	0
F113071	Ramaria rubella	6	1	1	8	1
F45228	Heterogastridium pycnidioideum	0	0	0	0	0
F257869	Holtermanniella festucosa	1	0	0	3	0
F135589	Coniferiporia weirii	3	0	0	4	0
F208960	Fomitiporia mediterranea	2	0	0	11	0
F2282107	Pyrrhoderma noxium	1	0	0	1	0
F50990	Rickenella mellea	2	0	0	2	0
F27342	Schizopora paradoxa	1	0	0	1	0
F150792	Hysterangium stoloniferum	1	0	0	3	0
F202697	Jaapia argillacea	4	0	0	4	0
F1323573	Meredithblackwellia eburnea	1	1	1	1	1
F418498	Phenoliferia psychrophenolica	0	0	0	0	0
F3038894	Phenoliferia sp. Uapishka_3	0	0	0	0	0
F106004	Leucosporidium creatinivorum	1	0	0	1	0
F223818	Malassezia japonica	1	0	0	6	0
F77020	Malassezia pachydermatis	0	0	0	0	0
F76775	Malassezia restricta	1	0	0	6	0
F76777	Malassezia sympodialis	1	0	0	6	0
F2020962	Malassezia vespertilionis	0	0	0	0	0
F269621	Microbotryum intermedium	0	0	0	0	0
F288795	Microbotryum lychnidis-dioicae	4	0	0	0	0
F289078	Microbotryum saponariae	2	0	0	4	0
F796604	Microbotryum silenes-dioicae	4	3	3	4	3
F2878321	Jaminaea pallidilutea	0	0	0	0	0
F1569628	Jaminaea rosea	0	0	0	0	0
F1684307	Microstroma glucosiphilum	0	0	0	0	0
F1463510	Parajaminaea phylloscopi	0	0	0	0	0
F574677	Sympodiomycopsis kandeliae	0	0	0	0	0
F34349	Mixia osmundae	1	1	1	1	1
F112072	Naohidea sebacea	1	0	0	1	0
F1419009	Clathrus columnatus	3	1	1	3	1
F378194	Epithele typhae	4	2	2	4	2
F599839	Fibroporia radiculosa	1	0	0	1	0
F5630	Laetiporus sulphureus	2	0	0	2	0
