taxon_id	species_name	study_role	assembly_accession	match_status	queried_genus	source_genus	source_rank	source_record_id	source_excel_rows	source_doi	source_phylum	source_class	source_family	taxon_identity_flags	source_genus_comment_present	source_lifestyle_comment_present	species_verified	eligible_for_confirmatory_tests	candidate_primary_lifestyle	candidate_secondary_lifestyle	candidate_endophytic_capability	candidate_plant_pathogenic_capacity	candidate_decay_substrate	candidate_decay_type	candidate_aquatic_habitat	candidate_animal_biotrophic_capacity	candidate_growth_form	candidate_fruitbody_type
F42374	Candida dubliniensis	ingroup	GCF_000026945.1	genus_candidate_requires_species_verification	Candida	Candida	genus	jrk01402	6096	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetales family incertae sedis		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	animal-associated/opportunistic_human_parasite	yeast	none
F5479	Candida maltosa	ingroup	GCA_050495715.1	genus_candidate_requires_species_verification	Candida	Candida	genus	jrk01402	6096	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetales family incertae sedis		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	animal-associated/opportunistic_human_parasite	yeast	none
F5482	Candida tropicalis	ingroup	GCF_000006335.3	genus_candidate_requires_species_verification	Candida	Candida	genus	jrk01402	6096	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetales family incertae sedis		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	animal-associated/opportunistic_human_parasite	yeast	none
F5486	Candida viswanathii	ingroup	GCA_003327735.1	genus_candidate_requires_species_verification	Candida	Candida	genus	jrk01402	6096	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetales family incertae sedis		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	animal-associated/opportunistic_human_parasite	yeast	none
F2609844	Podospora pseudoanserina	ingroup	GCF_035222485.1	genus_candidate_requires_species_verification	Podospora	Podospora	genus	jrk06812	7388	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Podosporaceae		False	True	False	False	dung_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed,dung		partly_freshwater_(partly_non-aquatic)		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F72144	Remersonia thermophila	ingroup	GCF_042764415.1	genus_candidate_requires_species_verification	Remersonia	Remersonia	genus	jrk07482	7344	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Chaetomiaceae		False	False	False	False	dung_saprotroph				dung		non-aquatic		filamentous_mycelium	none
F5147	Sordaria macrospora	ingroup	GCF_033870435.1	genus_candidate_requires_species_verification	Sordaria	Sordaria	genus	jrk08152	7398	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Sordariaceae		False	False	False	False	dung_saprotroph				dung	soft_rot	partly_freshwater_(partly_non-aquatic)		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F2754530	Protomyces lactucae-debilis	ingroup	GCF_002105105.1	genus_candidate_requires_species_verification	Protomyces	Protomyces	genus	jrk06960	7816	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Taphrinomycetes	Protomycetaceae		False	False	False	False	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic		dimorphic_yeast	
F5011	Taphrina deformans	ingroup	GCA_000312925.2	genus_candidate_requires_species_verification	Taphrina	Taphrina	genus	jrk08659	7821	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Taphrinomycetes	Taphrinaceae		False	False	False	False	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic		dimorphic_yeast	
F1145299	Brigantiaea leucoxantha	ingroup	GCA_051941505.1	genus_candidate_requires_species_verification	Brigantiaea	Brigantiaea	genus	jrk01184	5218	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Brigantiaeaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F1145321	Letrouitia subvulpina	ingroup	GCA_052059055.1	genus_candidate_requires_species_verification	Letrouitia	Letrouitia	genus	jrk04640	5219	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Brigantiaeaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
