model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	baseline_mean_rsa	baseline_mean_aa_log1p_rate	baseline_estimate	sensitivity_estimate	sensitivity_minus_baseline	paired_draws	excluded_singular_draws	percentile_lower	percentile_upper
3di_llm__gamma__tien2013__composition_adjusted	3di_llm	gamma	tien2013	composition_adjusted	aa_at_RSA_025	0.2641317052464556	0.6044291063503936	0.08279883112875047	0.08105872239083325	-0.0017401087379172175	2000	0	-0.005867684830033321	0.001863102343087205
3di_llm__gamma__tien2013__composition_adjusted	3di_llm	gamma	tien2013	composition_adjusted	rsa_at_aa_log_rate_0	0.2641317052464556	0.6044291063503936	-0.24436981558276108	-0.24457393281938644	-0.00020411723662536185	2000	0	-0.005554986810695503	0.005855002926056714
3di_llm__gamma__tien2013__composition_adjusted	3di_llm	gamma	tien2013	composition_adjusted	interaction	0.2641317052464556	0.6044291063503936	0.014076976686226204	0.01826605519428151	0.004189078508055307	2000	0	-0.0026793875995706185	0.01145789879884968
3di_llm__gamma__tien2013__composition_adjusted	3di_llm	gamma	tien2013	composition_adjusted	aa_at_baseline_mean_RSA	0.2641317052464556	0.6044291063503936	0.08299776281404145	0.08131685289885433	-0.0016809099151871149	2000	0	-0.005721138925126984	0.0018922789970915416
3di_llm__gamma__tien2013__composition_adjusted	3di_llm	gamma	tien2013	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.2641317052464556	0.6044291063503936	-0.23586128114419005	-0.2335333974017599	0.002327883742430148	2000	0	-0.002229285169778438	0.008408938328253943
3di_llm__gamma__miller1987__coverage_confidence	3di_llm	gamma	miller1987	coverage_confidence	aa_at_RSA_025	0.30877860698116194	0.6044291063503936	0.19401333030377213	0.19355294900434503	-0.00046038129942710393	2000	0	-0.002745666967370055	0.0015451648516412808
3di_llm__gamma__miller1987__coverage_confidence	3di_llm	gamma	miller1987	coverage_confidence	rsa_at_aa_log_rate_0	0.30877860698116194	0.6044291063503936	-0.1635267653882222	-0.16363659602964836	-0.00010983064142616739	2000	0	-0.004260268030062284	0.004226793016609749
3di_llm__gamma__miller1987__coverage_confidence	3di_llm	gamma	miller1987	coverage_confidence	interaction	0.30877860698116194	0.6044291063503936	0.0008091196096520325	0.003988328006247375	0.0031792083965953427	2000	0	-0.0025949413437832097	0.009305665528373884
3di_llm__gamma__miller1987__coverage_confidence	3di_llm	gamma	miller1987	coverage_confidence	aa_at_baseline_mean_RSA	0.30877860698116194	0.6044291063503936	0.19406088922730863	0.1937873773687362	-0.0002735118585724394	2000	0	-0.0025192851720375184	0.0016749594533807725
3di_llm__gamma__miller1987__coverage_confidence	3di_llm	gamma	miller1987	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.30877860698116194	0.6044291063503936	-0.16303770994562963	-0.161225934497	0.0018117754486296211	2000	0	-0.0014501134405684808	0.006073109471590389
3di_llm__gamma__miller1987__composition_adjusted	3di_llm	gamma	miller1987	composition_adjusted	aa_at_RSA_025	0.30877860698116194	0.6044291063503936	0.08129713962872165	0.07944198031284758	-0.001855159315874072	2000	0	-0.006193672988988448	0.0018981919250091444
3di_llm__gamma__miller1987__composition_adjusted	3di_llm	gamma	miller1987	composition_adjusted	rsa_at_aa_log_rate_0	0.30877860698116194	0.6044291063503936	-0.21265258702939413	-0.21266130256385193	-8.71553445780382e-06	2000	0	-0.00453450443380549	0.0051584456388048495
3di_llm__gamma__miller1987__composition_adjusted	3di_llm	gamma	miller1987	composition_adjusted	interaction	0.30877860698116194	0.6044291063503936	0.0187863696293172	0.02207647666549887	0.0032901070361816692	2000	0	-0.0026298277657777046	0.009575794052981276
3di_llm__gamma__miller1987__composition_adjusted	3di_llm	gamma	miller1987	composition_adjusted	aa_at_baseline_mean_RSA	0.30877860698116194	0.6044291063503936	0.08240137626576612	0.08073960485829773	-0.0016617714074683848	2000	0	-0.005694904752087022	0.00195119585087353
3di_llm__gamma__miller1987__composition_adjusted	3di_llm	gamma	miller1987	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.30877860698116194	0.6044291063503936	-0.20129755842277777	-0.19931763750155915	0.0019799209212186253	2000	0	-0.0019265700588608117	0.0071737731736165175
