species_id	taxon_id	proteins	outside_retained_partition	singleton_family_proteins	two_member_family_proteins	tree_eligible_family_proteins	outside_fraction	intermediate_unassigned_proteins	intermediate_unassigned_now_in_partition	intermediate_unassigned_still_outside	outside_not_in_intermediate
240	F202698	11537	2641	0	1	8895	0.2289156626506024	2641	0	2641	0
241	F2034170	11590	1205	0	0	10385	0.10396893874029335	1205	0	1205	0
242	F203533	13264	5972	0	13	7279	0.4502412545235223	5972	0	5972	0
243	F2035830	8286	1069	0	0	7217	0.129012792662322	1069	0	1069	0
244	F2082308	8256	897	0	0	7359	0.10864825581395349	897	0	897	0
245	F208348	12736	5285	0	9	7442	0.41496545226130654	5285	0	5285	0
246	F208960	11330	3087	0	1	8242	0.2724624889673433	3087	0	3087	0
247	F209136	10853	1714	0	48	9091	0.15792868331336957	1714	0	1714	0
248	F209281	11395	2064	0	2	9329	0.1811320754716981	2064	0	2064	0
249	F215250	8026	1414	0	22	6590	0.1761774233740344	1414	0	1414	0
250	F223192	8834	722	0	0	8112	0.08172968077880914	722	0	722	0
251	F223376	10423	2921	0	6	7496	0.2802456106687134	2921	0	2921	0
252	F223409	7741	829	0	0	6912	0.10709210696292469	829	0	829	0
253	F223818	4315	206	0	9	4100	0.047740440324449594	206	0	206	0
254	F226899	8311	949	0	0	7362	0.11418601852965948	949	0	949	0
255	F2282107	9930	2276	0	1	7653	0.22920443101711985	2276	0	2276	0
256	F2283408	13128	1614	0	1	11513	0.12294332723948811	1614	0	1614	0
257	F230603	5532	295	0	4	5233	0.053326102675343455	295	0	295	0
258	F231932	13918	4438	0	2	9478	0.3188676533984768	4438	0	4438	0
259	F235537	10346	2186	0	0	8160	0.21128938720278367	2186	0	2186	0
260	F236234	10831	1412	0	0	9419	0.13036654048564306	1412	0	1412	0
261	F241526	2850	367	0	0	2483	0.1287719298245614	367	0	367	0
262	F245174	4863	350	0	2	4511	0.07197203372403865	350	0	350	0
263	F2486360	11345	1429	0	3	9913	0.1259585720581754	1429	0	1429	0
264	F253628	9818	1338	0	2	8478	0.13628030148706458	1338	0	1338	0
265	F2545709	5098	779	0	2	4317	0.15280502157708906	779	0	779	0
266	F2562287	14662	4040	0	13	10609	0.2755422179784477	4040	0	4040	0
267	F257869	7097	1054	0	2	6041	0.14851345639002395	1054	0	1054	0
268	F2600213	12384	4618	0	0	7766	0.3729005167958656	4618	0	4618	0
269	F2600215	12042	4282	0	4	7756	0.35558877262913136	4282	0	4282	0
270	F2600216	12019	4356	0	3	7660	0.3624261585822448	4356	0	4356	0
271	F2601811	9403	1508	0	3	7892	0.16037434861214506	1508	0	1508	0
272	F2606893	6475	1239	0	30	5206	0.19135135135135134	1239	0	1239	0
273	F2609844	11140	2117	0	7	9016	0.1900359066427289	2117	0	2117	0
274	F263815	3623	358	0	1	3264	0.09881313828319073	358	0	358	0
275	F264124	16502	5833	0	1	10668	0.3534723063871046	5833	0	5833	0
276	F264483	6380	1089	0	3	5288	0.1706896551724138	1089	0	1089	0
277	F2650707	6212	749	0	57	5406	0.12057308435286543	749	0	749	0
278	F265104	9802	1531	0	7	8264	0.15619261375229546	1531	0	1531	0
279	F2656787	10707	1391	0	28	9288	0.1299150088727001	1391	0	1391	0
280	F269621	8142	1406	0	1	6735	0.17268484401866863	1406	0	1406	0
281	F2704026	10151	1694	0	5	8452	0.16688011033395725	1694	0	1694	0
282	F2725673	10034	1943	0	546	7545	0.1936416184971098	1943	0	1943	0
283	F27291	5538	273	0	8	5257	0.04929577464788732	273	0	273	0
284	F27292	10760	648	0	3	10109	0.06022304832713755	648	0	648	0
285	F2732470	9228	1866	0	7	7355	0.2022106631989597	1866	0	1866	0
286	F27342	17088	6641	0	4	10443	0.38863529962546817	6641	0	6641	0
287	F2735257	11278	3508	0	17	7753	0.31104805816634157	3508	0	3508	0
288	F27376	14505	5826	0	6	8673	0.4016546018614271	5826	0	5826	0
289	F2748771	22782	5117	0	1	17664	0.22460714599245019	5117	0	5117	0
290	F2754530	6722	1654	0	1	5067	0.24605772091639394	1654	0	1654	0
291	F2767002	27675	8886	0	7	18782	0.3210840108401084	8886	0	8886	0
292	F2778381	6095	694	0	37	5364	0.11386382280557834	694	0	694	0
293	F2781224	7339	410	0	1	6928	0.055865921787709494	410	0	410	0
294	F279322	7753	1505	0	0	6248	0.19411840577840836	1505	0	1505	0
295	F2796175	9066	1708	0	3	7355	0.18839620560335318	1708	0	1708	0
296	F280036	6591	530	0	6	6055	0.08041268396297982	530	0	530	0
297	F2829486	14599	4801	0	1	9797	0.3288581409685595	4801	0	4801	0
298	F2831993	13616	4051	0	2	9563	0.29751762632197415	4051	0	4051	0
299	F2834505	13069	4239	0	2	8828	0.324355344708853	4239	0	4239	0
300	F28583	18774	2063	0	35	16676	0.10988601257057633	2063	0	2063	0
301	F2871812	7888	844	0	5	7039	0.10699797160243407	844	0	844	0
302	F2878321	6334	962	0	0	5372	0.1518787496053047	962	0	962	0
303	F288795	7364	1198	0	1	6165	0.16268332428028245	1198	0	1198	0
304	F289078	10587	3084	0	3	7500	0.2913006517427033	3084	0	3084	0
305	F291195	3013	1645	0	4	1364	0.5459674742781281	1645	0	1645	0
306	F2918522	7945	731	0	4	7210	0.09200755191944619	731	0	731	0
307	F293227	11094	1525	0	1	9568	0.13746169100414637	1525	0	1525	0
308	F2939399	8497	707	0	5	7785	0.08320583735436037	707	0	707	0
309	F2939400	7632	1047	0	9	6576	0.13718553459119498	1047	0	1047	0
310	F2939403	7507	730	0	58	6719	0.09724257359797522	730	0	730	0
311	F2939404	6249	503	0	0	5746	0.08049287886061769	503	0	503	0
312	F2939405	6893	821	0	1	6071	0.11910633976497896	821	0	821	0
313	F2939406	10889	1587	0	4	9298	0.14574341078152264	1587	0	1587	0
314	F2939408	6608	643	0	0	5965	0.09730629539951574	643	0	643	0
315	F2977754	9541	1588	0	1	7952	0.16643957656430144	1588	0	1588	0
316	F29833	4004	913	0	0	3091	0.22802197802197802	913	0	913	0
317	F29883	18213	7977	0	1	10235	0.43798385768407183	7977	0	7977	0
