taxon_id	species_name	study_role	unambiguous_residues	unambiguous_fraction
F462254	Aplosporella prunicola	ingroup	47870	0.9764007587655782
F467971	Sistotremastrum suecicum	ingroup	47018	0.9590225793950272
F470096	Pseudovirgaria hyperparasitica	ingroup	47449	0.9678136537010219
F474922	Colletotrichum gloeosporioides	ingroup	47257	0.9638974442654048
F4754	Pneumocystis carinii	ingroup	47025	0.9591653578640341
F48021	Artomyces pyxidatus	ingroup	47961	0.9782568788626675
F4808	Blastocladiella emersonii	ingroup	47302	0.9648153058518776
F48095	Alternaria dauci	ingroup	47211	0.9629591857547882
F4837	Phycomyces blakesleeanus	ingroup	41242	0.8412099455402126
F4840	Rhizomucor pusillus	ingroup	48644	0.9921879780529096
F48563	Suillus bovinus	ingroup	47984	0.9787260081179758
F48565	Suillus brevipes	ingroup	47162	0.96195973647174
F48578	Suillus paluster	ingroup	46207	0.9424806739143737
F48586	Suillus subalutaceus	ingroup	46414	0.9467028372121484
F48587	Suillus subaureus	ingroup	44740	0.9125583861953618
F48593	Suillus weaverae	ingroup	47392	0.966651029024823
F4866	Dipsacomyces acuminosporus	ingroup	37112	0.756970648826157
F48691	Neolecta irregularis	ingroup	39235	0.8002733187835275
F4874	Gigaspora margarita	ingroup	36514	0.7447732881881413
F4896	Schizosaccharomyces pombe	ingroup	46832	0.9552287515042731
F4897	Schizosaccharomyces japonicus	ingroup	46875	0.9561058192424582
F4903	Williopsis jadinii	ingroup	45173	0.9213902543496441
F4909	Pichia kudriavzevii	ingroup	45356	0.9251228914679667
F4918	Pachysolen tannophilus	ingroup	45867	0.9355457197054684
F4927	Hansenula anomala	ingroup	44664	0.91100821996043
F4932	Saccharomyces cerevisiae	ingroup	46869	0.9559834376975952
F500713	Sporobolomyces koalae	ingroup	47590	0.9706896200053032
F5011	Taphrina deformans	ingroup	42974	0.8765374181573419
F5022	Plenodomus lingam	ingroup	47819	0.9753605156342423
F50376	Venturia effusa	ingroup	47723	0.9734024109164338
F5059	Aspergillus flavus	ingroup	48331	0.985803740795888
F5062	Aspergillus oryzae	ingroup	47007	0.958798213229445
F50956	Geosiphon pyriformis	ingroup	45358	0.9251636853162543
F50990	Rickenella mellea	ingroup	44717	0.9120892569400535
F5101	Amorphotheca resinae	ingroup	48323	0.9856405654027373
F5116	Cryphonectria parasitica	ingroup	42544	0.8677667407754911
F5127	Fusarium fujikuroi	ingroup	46902	0.9566565361943419
F5128	Fusarium sambucinum	ingroup	48144	0.98198951598099
F5147	Sordaria macrospora	ingroup	47515	0.9691598506945153
