marker	taxon_set_sha256	split_taxa	split_taxon_count	aa_branch_length	3di_af_branch_length	3di_af_empirical_branch_length	3di_llm_branch_length
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1145299	1	0.0057614709	0.0111546337	0.0115801078	0.0108207062
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1145299,F1145321	2	0.031237037	0.0834004838	0.0743857062	0.0532056553
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1145299,F1145321,F116821,F116982,F169141,F669869	6	0.0066848583	0.0077009237	2.6318e-06	0.0051796524
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1145299,F1145321,F116982,F169141	4	0.0068772802	2.0835e-06	2.6571e-06	2.1419e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1145299,F1145321,F116982,F169141,F669869	5	0.007074594	0.0089664616	0.0084187592	0.0052190663
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1145299,F1145321,F169141	3	0.0074834171	2.9432e-06	2.8268e-06	0.0046813743
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1145321	1	0.0595761473	0.0955928589	0.0824687362	0.061133958
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F116821	1	0.0506384352	0.0272882888	0.0262088754	0.0208535995
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F116982	1	0.0425467399	0.0702209309	0.0642227397	0.0493788819
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1174673	1	0.0758916583	0.1351829646	0.1322339943	0.0993155609
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1174673,F1276059,F1328300,F148313,F1506992,F2019550,F2035830,F223376,F2283408,F2609844,F2939399,F326681,F326684,F36050,F43433,F5128,F549676,F5507,F63577,F65468,F710243,F72144,F91930	23	0.0383620533	2.1707e-06	2.1707e-06	2.1707e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1174673,F43433	2	0.0231192379	0.027003051	0.0142419991	0.0199054545
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F121624	1	0.0266288521	0.0149849901	0.0128186482	0.0103679445
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F121624,F1453791,F1507873,F164576,F174425,F2024903,F265104,F2781224,F2796175,F2939403,F2939404,F2939406,F315204,F364730,F460848,F460854,F48095,F5022,F5570,F92988	20	0.0145097078	0.0354037166	0.0363745147	0.0263367542
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F121624,F1453791,F1507873,F164576,F174425,F2024903,F2781224,F2796175,F2939403,F2939404,F2939406,F364730,F460848,F460854,F48095,F5022,F5570,F92988	18	0.0062773472	2.5323e-06	2.5323e-06	2.5323e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F121624,F1507873,F174425,F2024903,F2781224,F2796175,F2939406,F364730,F48095,F5022,F5570,F92988	12	0.0292867244	0.0201352947	0.0238928211	0.0130685241
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F121624,F174425,F2796175,F2939406,F364730,F5570	6	0.0077112647	0.0296893107	0.0222485594	0.0206340263
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1230402	1	0.2624931096	0.1136277072	0.1075562348	0.0863671131
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1276059	1	0.0460678252	0.0407914747	0.0212327625	0.0317204223
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1276059,F1328300,F148313,F1506992,F2019550,F2035830,F223376,F2283408,F2609844,F2939399,F326681,F326684,F36050,F5128,F549676,F5507,F63577,F65468,F710243,F72144,F91930	21	0.3717705778	0.1245283151	0.1148642106	0.0860620445
